SETTORE,SOTTOCATEGORIA,AZIENDA,PROVINCIA,SITO,TELEFONO,MAIL_GENERICA,NOME_DECISORE,RUOLO,LINKEDIN_DECISORE,SEGNALI_CRM,PRIORITA,FONTE_VERIFICA,DATA_INSERIMENTO
Manifattura,Occhialeria - Produzione occhiali da vista e sole,Look Occhiali S.r.l.,Belluno,www.lookocchiali.it,0437 573060,info@lookocchiali.it,n.d.,n.d.,https://it.linkedin.com/company/lookocchiali,"Portale ""Area B2B"" dedicato a clienti/rivenditori con registrazione dedicata; indirizzi email separati per customer care e shop",ALTA,https://www.lookocchiali.it/it/stores-contacts,seed-import
Manifattura,Trattamenti superficiali/lucidatura per occhialeria,PAI Cristal Italia S.r.l.,Belluno,www.paicristal.com,0435 501668,info@paicristal.it,n.d. (fondatore storico: Paolo Montagner; quota di maggioranza famiglia austriaca Ascher),n.d.,https://it.linkedin.com/company/pai-cristal-italia-s.r.l.,"Centri produttivi/commerciali in Cina e India dal 2004; clientela internazionale (occhialeria, nautica, gioielleria); definita ""multinazionale tascabile"" dalla stampa locale",ALTA,https://www.paicristal.com/en/about/ ; https://www.corrierealpi.it/cronaca/pai-cristal-italia-mezzo-secolo-di-successo-sempre-crescente-lv4f6zul,seed-import
Manifattura,Occhialeria - Produzione montature (metallo/acetato),Trenti Industria Occhiali S.r.l.,Belluno,www.trenti.eu,n.d.,n.d.,Valter Da Rin,"Guida azienda (nipote del fondatore, titolo esatto n.d.)",n.d.,Partner strategico di Kering Eyewear dal 2014 (quota acquisita nel 2019); produzione per brand internazionali del gruppo Kering; oltre 60 anni di attività nel distretto,ALTA,https://www.museodellocchiale.it/terre-dell-occhiale/luoghi-e-aziende/trenti-industria-occhiali/ ; https://www.aziende.it/trenti-industria-occhiali-s-p-a ; https://it.linkedin.com/company/trentiindustriaocchialispa,seed-import
Meccanica di precisione,Fresatura e tornitura CNC conto terzi,Facchin Giampiero & C. (Facchin2 Srl),Belluno,https://www.facchingiampiero.com/,\+39 0437 540537,info@facchin2.com,Giampiero Facchin,Socio/Titolare,n.d.,Certificazione UNI EN ISO 9001 dal 2001,ALTA,https://www.facchingiampiero.com/,seed-import
Meccanica di precisione,"Lavorazioni CNC precisione (navale, medicale, energia)",MGB (Meccanica MGB),Belluno,https://meccanicamgb.it/,\+39 0437 970387,info@meccanicamgb.it,Mara Tormen,Titolare/Fondatrice,n.d.,Nuovo software gestionale per ottimizzazione processi,ALTA,https://meccanicamgb.it/en/our-company/,seed-import
Meccanica di precisione,Componenti e attrezzature di precisione per macchine utensili,O.M.A.P. Srl (Gruppo Depra),Belluno,https://omapsrl.com/,\+39 0437 990044,omap@gruppodepra.com,n.d.,n.d.,n.d.,Export in oltre 30 Paesi nel mondo,ALTA,https://omapsrl.com/en/company/,seed-import
Meccanica di precisione,"Micromeccanica di precisione (automotive, occhialeria)",Rolmec Srl,Belluno,https://www.rolmec.com/,\+39 0437 852889,info@rolmec.com,Mario Roldo,Titolare/Fondatore,n.d.,"Circa 80 dipendenti, export in Europa e nel mondo",ALTA,https://www.ilgazzettino.it/nordest/belluno/rolmec\_meccanica\_alta\_precisione\_125\_anni\_sedico\_mario\_roldo-6407768.html,seed-import
Meccanica di precisione,Stampi e stampaggio materie plastiche multi-settore,Stamplast Srl,Belluno,https://www.stamplast-bl.com/,\+39 0437 807025,n.d.,n.d.,n.d.,n.d.,Nuovo stabilimento produttivo a Sedico (2025),ALTA,https://www.stamplast-bl.com/en/,seed-import
Turismo B2B/Impiantistica montana,Gestore impianti a fune/skipass,Alleghe Funivie S.p.A.,Belluno,https://www.alleghefunivie.com,\+39 0437 523544,info@alleghefunivie.com,n.d.,n.d.,n.d.,"Gestisce area sciistica del Civetta; fatturato 2025 €8,05 mln, 26 dipendenti",ALTA,https://www.alleghefunivie.com/,seed-import
Turismo B2B/Impiantistica montana,Tour operator/DMC montagna,Cortina IN S.r.l.,Belluno,https://cortinain.com,\+39 0436 060152,info@cortinain.com,Giulia Wedam,Socia Fondatrice,https://it.linkedin.com/in/giulia-wedam-1aa400105,"Tour operator/DMC incoming fondato nel 2022, gestisce eventi aziendali/team building",ALTA,https://cortinain.com/,seed-import
Turismo B2B/Impiantistica montana,Gestore impianti a fune/skipass,Faloria S.p.A.,Belluno,https://faloriacristallo.it,0436 860780,n.d.,n.d.,n.d.,n.d.,"Socia Consorzio Skipass Cortina, gestisce area Faloria-Cristallo",ALTA,https://www.misterimprese.it/veneto/belluno/cortina-d-ampezzo/funivie-impianti-di-risalita-e-sciovie-societa-di-esercizio/772140.html,seed-import
Turismo B2B/Impiantistica montana,Gestore impianti a fune/skipass,Funivie Arabba S.p.A. Società Benefit,Belluno,https://www.funiviearabba.it,\+39 0436 79336,info@funiviearabba.it,Diego De Battista,Amministratore Delegato,n.d.,Più grande azienda di impianti a fune della Regione Veneto,ALTA,https://www.funiviearabba.it/,seed-import
Turismo B2B/Impiantistica montana,Gestione multi-struttura ricettiva,Gruppo Stay S.r.l.,Belluno,https://www.gruppostay.com,n.d.,amministrazione@gruppostay.com,n.d.,n.d.,n.d.,"Hospitality management ""white-label"" per hotel/appartamenti/strutture ricettive multiple",ALTA,https://www.gruppostay.com/,seed-import
Turismo B2B/Impiantistica montana,Gestore impianti a fune/skipass,ISTA S.p.A.,Belluno,https://www.impianticortina.it,\+39 0436 861263,info@impianticortina.it,n.d.,n.d.,n.d.,Capofila storico Consorzio Skipass Cortina (8 società socie),ALTA,https://www.impianticortina.it/,seed-import
Turismo B2B/Impiantistica montana,Gestore impianti a fune/skipass,Palafavera S.r.l.,Belluno,https://www.palafavera.com,0437 789472,n.d.,n.d.,n.d.,n.d.,"Gestisce ski area Palafavera (Val di Zoldo); fatturato 2024 €1,59 mln in fortissima crescita",ALTA,https://www.palafavera.com/,seed-import
Lattiero-caseario,Cooperativa agricola di montagna,Cooperativa Agordino Latteria di Vallata Soc. Agr. Coop.,Belluno,https://www.latteriadivallata.com,0437 640947,cooperativaagordino@gmail.com,n.d.,Presidente,n.d.,Raccoglie latte da aziende agricole di 5 comuni,MEDIA,https://www.latteriadivallata.com/about-us,seed-import
Lattiero-caseario,Cooperativa agricola di montagna,Latteria di Lentiai Soc. Coop. Agricola,Belluno,https://www.latterialentiai.it,0437 750584,info@latterialentiai.it,n.d.,Presidente,n.d.,"Struttura organizzativa esplicita, gamma prodotti articolata",MEDIA,https://www.latterialentiai.it/index.php/contatti,seed-import
Legno/Arredo,Produzione e vendita mobili su misura,Dal Pont Arreda,Belluno,https://www.dalpontarreda.com,0437 847474,amm.dalpontarreda@gmail.com,Corrado Dal Pont; Alessandra Dal Pont,Titolari,n.d.,"Ruoli distinti e coordinati produzione/commerciale, clientela anche business",MEDIA,https://www.dalpontarreda.com/Chi-siamo,seed-import
Legno/Arredo,Segheria industriale e falegnameria (arredo esterno),Fratelli Colle Srl,Belluno,https://www.fratellicolle.it,0437 730051,info@fratellicolle.it,n.d.,n.d.,n.d.,"3 sedi/reparti coordinati, oltre 70 anni di attività, export imballaggi certificati ISPM-15",MEDIA,https://www.fratellicolle.it/,seed-import
Legno/Arredo,"Produzione mobili su misura, serramenti e scale",Legnostile Snc,Belluno,https://www.legnostile.com,0437 82534,info@legnostile.it,Franco D'Incà; Stefano D'Incà,Titolari,n.d.,"14 dipendenti, rete di vendita con collaborazioni, opera in più province",MEDIA,https://www.legnostile.com/azienda/,seed-import
Legno/Arredo,Serramenti e infissi (vendita e installazione),Teknus Infissi,Belluno,https://www.teknusinfissi.com,0437 927053,info@teknusinfissi.com,n.d.,n.d.,n.d.,"Due sedi operative, staff dedicato di progettisti/tecnici/installatori",MEDIA,https://www.teknusinfissi.com/contatti/,seed-import
Manifattura,Componentistica occhialeria - minuteria metallica e attrezzature,GDR S.n.c. di Gasperina e Della Rosa,Belluno,www.gdrminuterie.it,0435 520357,gdrdomcad@libero.it,Gasperina e Della Rosa (soci),Soci fondatori,n.d.,"""Opera prevalentemente in esclusiva con occhialerie di media-grande dimensione"" - clientela B2B ricorrente strutturata",MEDIA,https://www.gdrminuterie.it/,seed-import
Manifattura,"Componentistica occhialeria (stanghette, terminali, elementi decorativi)",Sari S.r.l.,Belluno,www.sarisrl.com,0437 751184,info@sarisrl.com,n.d.,n.d.,n.d.,"Produzione conto terzi/su disegno cliente in acetato, legno, corno di bufalo, carbonio; reparto R\&S dedicato al cliente",MEDIA,https://www.sarisrl.com/it/company,seed-import
Manifattura,Occhialeria - Produzione occhiali (tecnologia custom),Thema Optical S.r.l.,Belluno,thema-optical.com,0435 72002,n.d.,n.d.,n.d.,n.d.,"Software/app proprietario per occhiale su misura (""ad personam"") presentato al MIDO; fascia fatturato 10-25 mln €",MEDIA,https://thema-optical.com/ ; https://www.aziende.it/thema-optical-s-r-l ; https://www.ilnordest.it/economia/imprese/al-mido-con-il-software-per-locchiale-su-misura-xv88hf0m,seed-import
Meccanica di precisione,Componentistica di precisione per occhialeria (laser/finiture),Levorato s.a.s. di Levorato Ivano,Belluno,https://www.levoratoivano.it/,\+39 0437 770756,n.d.,Ivano Levorato,Titolare,n.d.,Sede in zona industriale di Longarone,MEDIA,https://www.levoratoivano.it/chi-siamo,seed-import
Meccanica di precisione,Meccanica generale e lavorazioni conto terzi,Meccanica O.C.S.A.,Belluno,https://meccanica-ocsa.com/,\+39 0439 301103,info@meccanica-ocsa.com,n.d.,n.d.,n.d.,"Attiva dal 1975, gestione ciclo produttivo completo multi-cliente",MEDIA,https://meccanica-ocsa.com,seed-import
Turismo B2B/Impiantistica montana,Agenzia immobiliare-turistica multi-sede,Agenzia Cortinese,Belluno,https://www.cortinese.it,\+39 0436 863886,agenzia@cortinese.it,n.d.,n.d.,n.d.,"Attiva dal 1981, due sedi coordinate, gestisce compravendite e affitti turistici/residenziali",MEDIA,https://www.cortinese.it/agenzia,seed-import
Turismo B2B/Impiantistica montana,Gestore impianti a fune/skipass,Auronzo d'Inverno S.r.l.,Belluno,https://www.monteagudo.it,\+39 0435 400522,auronzodinverno@hotmail.it,n.d.,n.d.,n.d.,"Gestisce ski area Monte Agudo con scuola sci, noleggio attrezzature",MEDIA,https://www.monteagudo.it/,seed-import
Turismo B2B/Impiantistica montana,Tour operator/DMC montagna,Cortina360 S.r.l.,Belluno,https://cortina360.it,\+39 334 7972372,info@cortina360.it,n.d.,n.d.,n.d.,"DMC/tour operator con due brand collegati, organizza team building aziendali e gruppi",MEDIA,https://cortina360.it/,seed-import
Turismo B2B/Impiantistica montana,Gestore impianti a fune/skipass,Impianti Averau S.r.l.,Belluno,https://5torri.it,\+39 0436 871178,seggiovia@5torri.it,n.d.,n.d.,n.d.,"Socia Consorzio Skipass Cortina, gestisce area Cinque Torri-Averau",MEDIA,https://5torri.it/,seed-import
Turismo B2B/Impiantistica montana,Gestore impianti a fune/skipass,Impianti Scoter S.r.l.,Belluno,https://www.skiareasanvito.com,0436.890645,info@skiareasanvito.com,n.d.,n.d.,n.d.,Gestisce Ski Area San Vito di Cadore,MEDIA,https://www.skiareasanvito.com/impianti/,seed-import
Turismo B2B/Impiantistica montana,Gestore impianti a fune/skipass,Lagazuoi S.p.A.,Belluno,https://lagazuoi.it,0436 862171,lagazuoi@lagazuoi.it,n.d.,n.d.,n.d.,Gestisce la funivia Lagazuoi con rifugio e centro congressi,MEDIA,https://skipasscortina.com/IT/s11-lagazuoi-spa,seed-import
Turismo B2B/Impiantistica montana,Gestore impianti a fune/skipass,Tofana S.r.l.,Belluno,https://www.freccianelcielo.com,0436 862171,info@freccianelcielo.com,n.d.,n.d.,n.d.,"Gestisce la funivia ""Freccia nel Cielo"", socia Consorzio Skipass Cortina",MEDIA,https://skipasscortina.com/IT/s6-tofana-srl,seed-import
Legno/Arredo,Segheria (lavorazione legname per edilizia),De Carli Legnami S.r.l.,Belluno,https://www.decarlilegnami.com,0439 301741,decarlilegnami@libero.it,n.d.,n.d.,n.d.,"Fornitura legname per tetti, costruzioni e imballaggi",BASSA,https://www.decarlilegnami.com/,seed-import
Legno/Arredo,Serramenti e infissi (vendita e installazione),Serramenti Prado,Belluno,https://www.serramentiprado.it,393 5324070,serramentiprado@gmail.com,n.d.,n.d.,n.d.,Azienda familiare con showroom e gamma prodotti ampia,BASSA,https://www.serramentiprado.it/contatti/,seed-import
Manifattura,Occhialeria - Lavorazione conto terzi montature,Iuky Occhiali di Traina Benvenuto & C. S.a.s.,Belluno,www.iukyocchiali.it,0435 76515,iuky.lozzo@hotmail.it,"n.d. (titolare presumibile: Traina Benvenuto, da ragione sociale)",n.d.,n.d.,"Lavorazione conto terzi e fornitura componenti (fresatura, sgrossatura, burattatura, sabbiatura, lucidatura, satinatura) per clientela B2B",BASSA,https://www.iukyocchiali.it/contatti/,seed-import
Manifattura,Occhialeria - Produzione conto terzi montature acetato,Montresor (Montresor Giuseppe),Belluno,www.montresorocchiali.it,0435 72763,"n.d. (unico contatto pubblicato è email personale del titolare, esclusa per policy)",Giuseppe Montresor,Titolare,n.d.,Produzione conto terzi per brand esterni,BASSA,https://www.montresorocchiali.it/chi-siamo,seed-import
Turismo B2B/Impiantistica montana,Gestore impianti a fune/skipass,Misurina Neve S.r.l.,Belluno,n.d.,0436 862171,misurinaneve@libero.it,n.d.,n.d.,n.d.,Gestisce seggiovia Col de Varda e area sciistica Misurina/La Loita,BASSA,https://skipasscortina.com/IT/s12-misurina-neve-srl,seed-import
Farmaceutico/Biomedicale,"Farmaceutica (acido ialuronico, dispositivi medici)",Fidia Farmaceutici S.p.A.,Padova,https://www.fidiapharma.it/,(+39) 049 8232221,info@fidiapharma.it,Carlo Pizzocaro,Presidente e Amministratore Delegato (CEO),n.d.,"Gruppo in forte crescita, fatturato previsto 538 mln euro nel 2025 (+15%), acquisizioni recenti, rete commerciale internazionale",ALTA,https://www.fidiapharma.it/il-nostro-gruppo/contatti/ ; https://www.milanofinanza.it/news/fidia-farmaceutici-mira-a-crescere-del-15-nel-2025-parla-l-ad-carlo-pizzocaro-202507101621144607,seed-import
Farmaceutico/Biomedicale,Produzione dispositivi medici (impiantologia dentale),Leader Medica S.r.l.,Padova,www.leadermedica.com,\+39 049 9913364,info@leadermedica.com,n.d.,n.d.,n.d.,Rete di oltre 115 collaboratori commerciali in 26 paesi,ALTA,https://www.leadermedica.com/azienda/chi-siamo.html,seed-import
Farmaceutico/Biomedicale,Produzione/distribuzione nutraceutici e dispositivi medici (canale farmacia),PL Pharma S.r.l.,Padova,www.plpharma.it,n.d.,info@plpharma.com,n.d.,n.d.,n.d.,Rete propria di Informatori Tecnico Scientifici,ALTA,https://www.plpharma.it/azienda/diventa-informatore/,seed-import
Farmaceutico/Biomedicale,Dispositivi medici (impiantologia dentale),Sweden & Martina S.p.A.,Padova,https://www.sweden-martina.com/,\+39 049 9124300,info@sweden-martina.com,Alberto Martina,CEO (Amministratore Delegato),n.d.,"Fatturato consolidato oltre 100 mln euro, forte forza vendita e formazione continua di rivenditori/odontoiatri (circa 1000 corsi/anno), presenza commerciale internazionale",ALTA,https://www.sweden-martina.com/it/contatti ; https://www.mattinopadova.it/speciali/top-500-padova/sweden-martina-il-gioiello-nascosto-dellindustria-padovana-qkz19ucf,seed-import
Macchine agricole,Produzione seminatrici pneumatiche,Agricola Italiana,Padova,https://www.agricolaitaliana.it/,\+39 049 5797533,vendite@agricola.it,n.d.,n.d.,n.d.,Email dedicate per reparto vendite e reparto estero,ALTA,https://www.agricolaitaliana.it/contatti/,seed-import
Macchine agricole,Produzione veicoli elettrici per agricoltura e industria,Alke' S.r.l.,Padova,https://www.alke.com/,\+39 049 8702400,n.d.,n.d.,n.d.,n.d.,Rete di distributori/dealer in decine di paesi,ALTA,https://www.alke.com/alke-contact,seed-import
Macchine agricole,Produzione trattori specializzati (vigneto/frutteto) e concessionaria,Antonio Carraro S.p.A.,Padova,https://www.antoniocarraro.it/,\+39 049 9219921,info@antoniocarraro.it,n.d.,n.d.,n.d.,"Azienda quotata Borsa Italiana, rete dealer internazionale, export mondiale",ALTA,https://www.antoniocarraro.it/,seed-import
Macchine agricole,"Produzione macchine per fienagione, frutteti, vigneti",FCR di Perin Lina (FCR Costruzione Macchine Agricole),Padova,https://fcrfancelli.it/,\+39 049 557337,info@fcrfancelli.it,n.d.,n.d.,n.d.,"Export mondiale, fiere internazionali",ALTA,https://fcrfancelli.it/,seed-import
Macchine agricole,Concessionaria trattori e macchine agricole (dealer Valtra),Gaiani Rino sas,Padova,https://www.gaianirino.it/,\+39 049 5565282,info@gaianirino.it,n.d.,n.d.,n.d.,Concessionario ufficiale Valtra da oltre 30 anni,ALTA,https://www.gaianirino.it/,seed-import
Macchine agricole,"Produzione trinciatrici, cippatori e macchine per il verde",Peruzzo S.r.l.,Padova,https://www.peruzzo.it/,\+39 049 9620435,info@peruzzo.it,n.d.,n.d.,n.d.,"60 anni di attività, export globale",ALTA,https://www.peruzzo.it/en/,seed-import
Macchine agricole,"Produzione attrezzature per fienagione e movimento terra, export",Valentini Antonio S.r.l. (Valentini Group),Padova,https://www.valentini-group.com/,\+39 049 5790797,info@valentini-group.com,Antonio Valentini,Fondatore,n.d.,Uffici commerciali distinti Italia/estero,ALTA,https://www.valentini-group.com/en/contatti/,seed-import
Macchine industriali/Automazione,Robotica/PLC/system integration,AFE Automazione Srl,Padova,https://www.afeautomazione.it/,\+39 333 436 7806,info@afeautomazione.it,n.d.,n.d.,n.d.,Due divisioni commerciali distinte con recapiti dedicati (Robotica / Automazione\&PLC),ALTA,https://www.afeautomazione.it/,seed-import
Macchine industriali/Automazione,Costruzione macchinari industriali/impianti ad alto contenuto tecnologico,Apes Srl,Padova,https://www.apes.it/,049 8841133,info@apes.it,Mirco Rossi,Contitolare (seconda generazione),n.d.,"Azienda dal 1984, clienti in Italia e all'estero (export), governance divisa su 3 persone su reparti diversi",ALTA,https://www.apes.it/azienda/,seed-import
Macchine industriali/Automazione,System integrator/collaudo e automazione di processo,Jofa Srl,Padova,https://www.jofa.it/,049 8701387,info@jofa.it,n.d.,n.d.,n.d.,"Azienda dal 1972, ex fornitore case automobilistiche/F1, esporta sistemi di collaudo e automazione",ALTA,https://www.jofa.it/storia.html,seed-import
Macchine industriali/Automazione,"Impiantistica industriale (caldareria, impianti siderurgici e trattamento acque)",Ravagnan SpA,Padova,https://www.ravagnan.com/,049 8655511,commerciale.impianti@ravagnan.com,n.d.,n.d.,n.d.,Molteplici indirizzi email per reparto,ALTA,https://www.ravagnan.com/it/contatti.html,seed-import
Macchine industriali/Automazione,Automazione industriale/custom solutions,SAET Padova SpA,Padova,https://saetpd.it/,049 8989711,info@saetpd.it,n.d.,n.d.,n.d.,SpA storica in soluzioni di automazione custom per clienti industriali,ALTA,https://saetpd.it/contatti/,seed-import
Macchine industriali/Automazione,Automazione e comunicazione industriale/interfacce per l'automazione,Seneca Srl,Padova,https://www.seneca.it/,049 8705359,commerciale@seneca.it,n.d.,n.d.,n.d.,"Email commerciale dedicata (commerciale@seneca.it), distribuzione internazionale",ALTA,https://www.seneca.it/contatti,seed-import
Software/IT,Software house / CRM custom / system integrator,GSstore (GStore Informatica & Web),Padova,gas-store.it,049 4102386,info@gas-store.it,Devis Zampieri,CEO / Responsabile commerciale,n.d.,"Reparto commerciale dedicato (Devis Zampieri Direzione+Commerciale, Simone Area commerciale), sviluppo esplicito di ""CRM custom"" tra i servizi, crescita costante dal 2012",ALTA,https://gas-store.it/chi-siamo/,seed-import
Software/IT,System integrator / sviluppo software custom,I-CON Srl,Padova,www.iconservizi.com,\+39 347 8896911,i-con@iconservizi.com,Lorenzo Zulian; Francisco Yepes Barrera,Co-fondatori,n.d.,"Team strutturato di 11 persone, sviluppo di software gestionale personalizzato e app web su misura per PMI, azienda in crescita dal 2016",ALTA,https://www.iconservizi.com/azienda-informatica-a-padova/,seed-import
Software/IT,System integrator / distributore HW-SW / cybersecurity,Serenissima Informatica S.p.A.,Padova,www.serinf.it,049 8291111,info@serinf.it,n.d.,n.d.,n.d.,"Oltre 220 dipendenti, 30+ clienti B2B nominati (Club del Sole, PhotoSi, Best Western, SMEG, Lefay Hotels), acquisizioni recenti (Ibed Srl, Brevi Due Srl), sedi Padova/Bergamo/Barcellona",ALTA,https://www.serinf.it/en/about-us/,seed-import
Software/IT,Software house / system integrator,Web PD S.r.l.,Padova,webpd.it,049 8594684,contabilita@webpd.it,n.d.,n.d.,n.d.,"Prodotto proprietario ""App Agenti"" dedicato a reti di agenti/commerciali, prodotto ""Web Business Manager (WBM)"", copertura multi-provincia veneta",ALTA,https://webpd.it/servizi/software-house/,seed-import
Software/IT,System integrator / IT services,Wintech S.p.A. (Winning Technologies S.p.A.),Padova,www.wintech.it,049 2011000,n.d.,Massimo Gallotta,Amministratore/Fondatore,https://it.linkedin.com/in/massimo-gallotta-4b96ab59,"Aziende partecipate (Sistemi, Quadrivium, Visionlearning, Menocarta), ampio portfolio ERP/business automation/cybersecurity, partner tecnologici multipli, 3 sedi (Padova, Milano, Bassano del Grappa)",ALTA,https://www.wintech.it/chi-siamo/,seed-import
Farmaceutico/Biomedicale,Diagnostica in vitro (strumentazione emocromo/VES/emocolture),Alifax S.r.l.,Padova,https://www.alifax.com/,\+39 049 0992000,info@alifax.com,n.d.,n.d.,n.d.,"Azienda con filiali estere dirette (Brasile, Cina, Russia, Spagna, Germania) e rete commerciale internazionale su strumentazione diagnostica IVD",MEDIA,https://www.alifax.com/contacts/,seed-import
Farmaceutico/Biomedicale,Vendita e assistenza tecnica apparecchiature elettromedicali,C.E.M. S.r.l. (C.E.M. Elettromedicali),Padova,www.cemelettromedicali.com,\+39 049 761200,infocem@cemelettromedicali.com,n.d.,n.d.,n.d.,"Attiva dal 1976, base clienti B2B ricorrente",MEDIA,https://www.cemelettromedicali.com/,seed-import
Farmaceutico/Biomedicale,"Distribuzione dispositivi medici (laboratorio/ospedale, e-commerce)",Cair Italia S.r.l.,Padova,n.d.,\+39 049 9902966,n.d.,n.d.,n.d.,n.d.,Distributore certificato ISO 13485/14001,MEDIA,https://it.kompass.com/c/cair-italia-s-r-l/it0402519/,seed-import
Farmaceutico/Biomedicale,Servizi regolatori/qualita per aziende di dispositivi medici (B2B),Clariscience S.r.l.,Padova,www.clariscience.com,\+39 049 7443622,info@clariscience.com,n.d.,n.d.,n.d.,Clientela B2B ricorrente per regulatory affairs,MEDIA,https://clariscience.com/contatti,seed-import
Farmaceutico/Biomedicale,"Distribuzione dispositivi medici (critical care, chirurgia, cardiologia)",Medival S.r.l.,Padova,www.medival.it,\+39 049 775477,info@medival.it,n.d.,n.d.,n.d.,Distributore B2B di dispositivi medici per ospedali,MEDIA,https://www.medival.it/it/content/4-azienda,seed-import
Farmaceutico/Biomedicale,"Elettromedicali (laser dentali, saldatrici endorali, apparecchiature estetiche)",Medycore,Padova,https://www.medycore.it/,(+39) 049 8961111,info@medycore.it,n.d.,n.d.,n.d.,"Azienda esportatrice in oltre 10 nazioni, offre corsi di formazione per rivenditori/clienti, prodotti in aggiornamento continuo",MEDIA,http://www.medycore.it/azienda-medycore/,seed-import
Farmaceutico/Biomedicale,Distribuzione dispositivi medici (cardiologia/radiologia interventistica),Pegasus Medical S.r.l.,Padova,www.pegasusmedical.it,\+39 049 774708,info@pegasusmedical.it,n.d.,n.d.,n.d.,Distribuzione a strutture sanitarie pubbliche/private,MEDIA,https://www.pegasusmedical.it/,seed-import
